价格表,V码,规格,价格
综合业务组Q3,V0170,1×24×12,96
综合业务组Q3,V1170,1×6,45
综合业务组Q3,V1182,1×3×10,160
综合业务组Q3,V2055,1×4×10,145
综合业务组Q3,V2182,1×3×16,136
综合业务组Q3,V2182-A,1×24,68
综合业务组Q3,V2219,1×3×12,96
综合业务组Q3,V2219,1×3×16,128
综合业务组Q3,V2219-B,1×24,60
综合业务组Q3,V2223,1×4×16,128
综合业务组Q3,V2239,1×6×8,97
综合业务组Q3,V2239-B,1×24,46.2
综合业务组Q3,V2239-B,1×6×4,46.2
综合业务组Q3,V2241,1×3×12,96
综合业务组Q3,V2241-A,1×12,32
综合业务组Q3,V2252-B,1×24,45
综合业务组Q3,V2286C,1×12×5,100
综合业务组Q3,V2287A,1×10×6,94.2
综合业务组Q3,V2287-B,1×24,34.5
综合业务组Q3,V2287-B,1×8×3,34.5
综合业务组Q3,V2287F,1×8×6,69
综合业务组Q3,V2288A,1×18×4,106
综合业务组Q3,V2289,1×6×10,93
综合业务组Q3,V2589-A,1×4,26
综合业务组Q3,V2606B,1×6×8,68
综合业务组Q3,V2606B,1×6×10,85
综合业务组Q3,V2607,1×24,28
综合业务组Q3,V2607A,1×6×10,80
综合业务组Q3,V2609,1×6×10,105
综合业务组Q3,V2609-A,1×20,28
综合业务组Q3,V2619,1×8×6,57
综合业务组Q3,V2619A,1×12×5,70
综合业务组Q3,V2808,1×6×10,120
综合业务组Q3,V2833,1×6×8,80
综合业务组Q3,V2833-B,1×24,36
综合业务组Q3,V2833D,1×10×3,49.5
综合业务组Q3,V2833H,1×6×6,60
综合业务组Q3,V2834-A,1×24,34.5
综合业务组Q3,V2834B,1×8×6,69
综合业务组Q3,V2834D,1×6×10,85
综合业务组Q3,V2865,1×20×3,75
综合业务组Q3,V2866,1×12×5,85
综合业务组Q3,V2866A,1×10×5,77.5
综合业务组Q3,V2880-A,1×20,40
综合业务组Q3,V2889,1×8×6,99
综合业务组Q3,V4020-2,1×2×20,110
综合业务组Q3,V4020-2-B,1×2×4,23.5
综合业务组Q3,V4020-2-B,1×8,23.5
综合业务组Q3,V4028,1×10×6,138
综合业务组Q3,V4068,1×10×6,105
综合业务组Q3,V4069,1×10×6,96
综合业务组Q3,V4069-B,1×27,44
综合业务组Q3,V4073,1×10×6,153
综合业务组Q3,V4073-B,1×27,66
综合业务组Q3,V4080,1×10×6,102
综合业务组Q3,V4080-B,1×27,56
综合业务组Q3,V4081,1×10×6,114
综合业务组Q3,V4143,1×10×12,98.4
综合业务组Q3,V4146A,1×10×6,87
综合业务组Q3,V4146-A,1×30,45
综合业务组Q3,V4407,1×10×12,132
综合业务组Q3,V4492,1×12×6,102
综合业务组Q3,V4508,1×12×6,102
综合业务组Q3,V4519,1×10×6,138
综合业务组Q3,V4629,1×12×6,90
综合业务组Q3,V4660-A,1×10×3,34
综合业务组Q3,V4665,1×10×6,84
综合业务组Q3,V4669,1×12×6,96
综合业务组Q3,V4686,1×10×6,114
综合业务组Q3,V4686-A,1×27,59
综合业务组Q3,V4688,1×10×6,114
综合业务组Q3,V9300,1×12,78
综合业务组Q3,V9809A,1×10,75
综合业务组Q3,VD20013,1×3×12,69.6
综合业务组Q3,VW1003,1×10×10×6,126
综合业务组Q3,VW1009,1×10×10×6,132
综合业务组Q3,VW1009A,1×10×5×12,132
综合业务组Q3,VW1012,1×10×10×6,126
综合业务组Q3,VW1012,1×10×60,126
综合业务组Q3,VW1025B,8×4×40,160
综合业务组Q3,VW1027,80×12,90
综合业务组Q3,VW1027A,80×4,32
综合业务组Q3,VW1027A,80×4×4,128
综合业务组Q3,VW1028,80×12,114
综合业务组Q3,VW1037,30×40,140
综合业务组Q3,VW1040,80×12,90
综合业务组Q3,VW2002,80×12,90
综合业务组Q3,VW2004,80×12,114
综合业务组Q3,VW3410,40×20,96
综合业务组Q3,VW3412,10×60,90
综合业务组Q3,VW4001,60×20,140
综合业务组Q3,VW4002,60×12,120
综合业务组Q3,VW4002,80×12,120
